isimler,linkler,tarihler,aciklamalar
Mavi Kelebekler,https://www.imdb.com/title/tt2168318/?ref_=sr_t_361,2011–2013,Mavi Kelebekler puts a human face on Balkan War and centers on the real pains of Bosnian people. Aida (Oya Okar) is a Bosnian girl standing right between the love of a Bosnian friend (Murat) and a Serbian former neighbor and next enemy (Marko). Its 1992 and Yugoslavias civil war is raging.
Elbet Bir Gün,https://www.imdb.com/title/tt15192718/?ref_=sr_t_362,2021,"Feride changed her name to Gizem after running away from her brother-in-law, Cemil out of fear for her life. The young woman who has built a new life for herself has a happy marriage. Gizem learns that her whole family has been killed in a TV show and that Cemil is still after her and her older sister Nesime who has fled with her lover."
Son Nefesime Kadar,https://www.imdb.com/title/tt16259110/?ref_=sr_t_363,2022,"Mihri is a grieving mother who lost her daughter after a great disaster years ago. Due to a radical decision he took after this loss, his family broke up, he was abandoned by his son and husband, and he was left alone. However, Mihri did not give up, she hugged her granddaughter, who was the only memory of her daughter, and started to live a simple, small life."
Gecenin Ucunda,https://www.imdb.com/title/tt19246582/?ref_=sr_t_364,2022–2023,"The injustices he witnessed in his corporate business life push human resources specialist Macide to look for a way out. Realizing that her salvation can only be achieved by helping others, Macide decides to embark on the path of healing, which she received from her father when she was a child."
Beni Birakma,https://www.imdb.com/title/tt8495684/?ref_=sr_t_365,2018–2021,The story of lovers who never give up.
Sebeke,https://www.imdb.com/title/tt23459414/?ref_=sr_t_366,2023– ,"When a journalist is killed while investigating a top secret organization that has members in every unit of the state, Superintendent Ali begins to investigate the perpetrators of this murder and the organization."
Yine de Asigim,https://www.imdb.com/title/tt0487326/?ref_=sr_t_367,2005,"Director Ali and Public Relations Specialist Ayse are a newly married couple, learning about the daily rules and conflicts of marriage."
Mutlu Ol Yeter,https://www.imdb.com/title/tt4574508/?ref_=sr_t_368,2015,"Babur has the mission to kill the son of his father's murderer in his happiest day. However there is a problem that Can(the son of the murderer) is in love with his childhood friend (Zeynep) and he cannot open his heart to her. And due to this desperate love he is unhappy. So, Babur must firstly make Can happy and then kill him."
Reaksiyon,https://www.imdb.com/title/tt4075092/?ref_=sr_t_369,2014,The enemy of Turkey lives mostly within the borders of Turkey. A group of people who are willing to sacrifice themselves for eliminating Turkey's interior and outer enemies.
Çok Güzel Hareketler Bunlar,https://www.imdb.com/title/tt1468453/?ref_=sr_t_370,2008–2011,"The actors play the sketches that they've written and at the end of the sketch, Yilmaz Erdogan comes out from the spectators and asks the spectators to evaluate the performances of the actors and the spectators grade them."
Kocamin Ailesi,https://www.imdb.com/title/tt3958892/?ref_=sr_t_371,2014–2015,"Loving husband to the family fold. One of the children disappeared 25 years ago, traditional, a large Turkish family. If two very different families and neighbors from each other Tariq actually lost that child turns out to be what happens? Of course, that would be a complete farce."
Kaybolan Yillar,https://www.imdb.com/title/tt0813726/?ref_=sr_t_372,2006–2007,Three orphans separated at childhood find their destinies intertwining many years later
Kurtlar Vadisi: Terör,https://www.imdb.com/title/tt0949686/?ref_=sr_t_373,2007,"Polat Alemdar and his friends continue to struggle, in the last two seasons against mafia, but in this season against the terrorists organizations, in a particular PKK."
Metot,https://www.imdb.com/title/tt14193896/?ref_=sr_t_374,2021,"Called for a job interview, four candidates go through a dark, mysterious, brutal test to get the job."
Bugünün Saraylisi,https://www.imdb.com/title/tt3707700/?ref_=sr_t_375,2013–2014,"Katiboglu, a noble family, is having hard times financially. Young and millionaire Aysen, who has never seen a place other than the vineyard house in Kayseri in her life, buys the family's mansion."
Dip,https://www.imdb.com/title/tt7999996/?ref_=sr_t_376,2018,"Sahir, who is in charge of discouraging people from committing suicide for Istanbul Police Department, meets a mysterious scientist woman called Bilge, when he receives a notice by phone."
Hanimin Çiftligi,https://www.imdb.com/title/tt1592293/?ref_=sr_t_377,2009–2011,Güllü is a poor young woman . She is in love with Kemal. One day she is sold to a rich man Ramazan but as she didn't want him she accept her marriage to Muzaffer against the will of Halide his sister.
Aşka Düşman,https://www.imdb.com/title/tt29621957/?ref_=sr_t_378,,"The improbable romance between Inci, raised by a love-averse mother, and Uygar. A family consisting of a mother and three sisters who harbor animosity towards love."
Kuzey Yildizi,https://www.imdb.com/title/tt10682186/?ref_=sr_t_379,2019–2021,"Yildiz has loved Kuzey for as long as she has known. She has seen no one but him. Families are also friendly to each other. Kuzey and Yildiz are engaged. But when Kuzey goes to Istanbul to study at university, he forgets all his words and sets sail for new love."
Ihlamurlar altinda,https://www.imdb.com/title/tt0489902/?ref_=sr_t_380,2005–2007,"After a long love story between Yilmaz and Elif, a conflict causes Elif to marry a really rich man whose sister will end up falling in love with Yilmaz and having a crazy old lover of her destroy that."
Al Sancak,https://www.imdb.com/title/tt22806544/?ref_=sr_t_381,2023,An action series about 10 talented soldiers and their struggles to protect their homeland. against his enemies.
Lale Devri,https://www.imdb.com/title/tt2024922/?ref_=sr_t_382,2010–2014,"Çinar, the son of a conservative newly rich family, and Lale, the daughter of a secular rich family that is about to go bankrupt, marry with great love. But Lale's obsessive sister, Yesim, was the first one to fall in love with Çinar."
Cennet Mahallesi,https://www.imdb.com/title/tt0424619/?ref_=sr_t_383,2004–2007,"In the ""Cennet"" neighborhood where ethnic Romani people live in Istanbul, the children of two enemy families are in love with each other. In this neighborhood, every day fights end with music and dancing."
Nöbet,https://www.imdb.com/title/tt9540596/?ref_=sr_t_384,2019,"Every Turkish child is born as a soldier. Some of them are both soldiers and heroes. They works day and night for the survival of this country and this nation. When it's time, they even get to die for this nation. We call them ""The Hero."" They answer us by shouting: ""Long Live Turkey."""
Adini Sen Koy,https://www.imdb.com/title/tt6091552/?ref_=sr_t_385,2016–2018,"In order to appease his ailing sister, a rich businessman marries a working class girl for 6 months in exchange for money. The contract marriage turns into a relationship that will have unintended complications down the line."
Hizmetçiler,https://www.imdb.com/title/tt11755606/?ref_=sr_t_386,2020,The relations of four different servants working on a luxury site in Istanbul with their hosts are explained.
Kazara Aşk,https://www.imdb.com/title/tt14395722/?ref_=sr_t_387,2021,Tell the story of two young people who turn a new page in their lives after an accidental encounter in a funny way.
Al Yazmalim,https://www.imdb.com/title/tt4900114/?ref_=sr_t_388,2011–2012,A beautiful love story between two young adults. Will it be the love of his life or the dream of his life?
Bir Umut Yeter,https://www.imdb.com/title/tt9049036/?ref_=sr_t_389,2018,"When a conspiracy sends a baby floating ashore, circumstances alter the lives of two families, and specifically mothers with a father trapped in-between."
Arkadaslar Iyidir,https://www.imdb.com/title/tt6042546/?ref_=sr_t_390,2016,"Eren, Seda, Merve and Yunus are four friends who met a year ago when they were studying at university. In their first year of class, Seda meets her childhood friend Gizem. Seda and Gizem, from the first moment they come together as in the old days are connected to each other. However, the balances in the group begin to change soon."
Içimizdeki Ates,https://www.imdb.com/title/tt19410126/?ref_=sr_t_391,2022,"The story of four strong, intelligent, ambitious and successful young people who took their first steps in the business world to hold on to life and reach their dreams."
Adi Sevgi,https://www.imdb.com/title/tt16733832/?ref_=sr_t_392,2022,An idealistic young female teacher battles the town's powerful family for her student.
Hamlet,https://www.imdb.com/title/tt14032126/?ref_=sr_t_393,2021,Shakespeare's darkest tragedy in a modern retelling of family betrayal and horse carriages.
Kizim,https://www.imdb.com/title/tt8961058/?ref_=sr_t_394,2018–2019,"Eight-year-old Öykü is an exceptional little girl who, unlike her peers, is very empathetic and perceptive of the world around her. When her aunt, who has been her caregiver since birth, abandons her, Öykü will have to find her father, Demir. Unfortunately, he's an irresponsible adult and a swindler who grew up in an orphanage."
The Cheat,https://www.imdb.com/title/tt6456546/?ref_=sr_t_395,2017–2020,"Felix is a software developer who works for the department of software at an important anti-virus company. Beside that he is completing the missing parts of software on the games which are produced by game companies, eventually he gets an offer from the world famous game company called R.W games. This offer is about fixing the software errors as usual."
Bir Zamanlar Kibris,https://www.imdb.com/title/tt13381804/?ref_=sr_t_396,2021–2022,Turkish television series about Turkish Cypriots and the period before the Operation of Cyprus. The published trailers also shows about the activities of pro-Enosis Greeks in the series.
Gel Dese Ask,https://www.imdb.com/title/tt11790130/?ref_=sr_t_397,2020,An unhappy old married man falls in love with a young girl.
Canim Annem,https://www.imdb.com/title/tt16539540/?ref_=sr_t_398,2022– ,"Zeynep is an innocent and beautiful girl who's very fond of her mother. One day, her mother Cemre dies in an accident. No one can bring themselves to tell Zeynep that her mother is dead. Zeynep was born with a heart condition and she is not strong enough to bear the news."
Dila Hanim,https://www.imdb.com/title/tt2544156/?ref_=sr_t_399,2012–2014,A woman falls in love with the man who killed her husband.
Beni Affet,https://www.imdb.com/title/tt2247207/?ref_=sr_t_400,2011–2018,"Your basic Turkish TV soap opera, more compelling than it ever was. The life and events happening in 3 different families. Plot twists, secrets and love all build up in this show. This, is Beni Affet."
Gönülçelen,https://www.imdb.com/title/tt1618952/?ref_=sr_t_401,2010–2011,Gönülçelen is inspired by Bernard Shaw's play 'Pygmalion' and its film adaptation 'My Fair Lady'.
Hangimiz Sevmedik?,https://www.imdb.com/title/tt6263656/?ref_=sr_t_402,2016–2017,Tarik and Itir are two young people in love who live in the same neighborhood. They marry in secret because Tarik's widowed mother and Itir's widowed father have been hating each other for decades hiding the past from their children.
Benim Güzel Ailem,https://www.imdb.com/title/tt27874348/?ref_=sr_t_403,2023,Bittersweet days of a big family that adheres to its traditions.
Çöp Adam,https://www.imdb.com/title/tt22467674/?ref_=sr_t_404,2022–2023,"Tells the love story of game developer Tamer and bankeress Peri, who meets in an extraordinary way and are trapped in a dangerous yet beautiful game."
Çati Kati Ask,https://www.imdb.com/title/tt12498170/?ref_=sr_t_405,2020,"It is the story of Ates, Aysen, Demir and Yasemin, whose characters are opposite to each other and come from different social classes and cultures, to resist their love at the expense of their families."
Dudaktan Kalbe,https://www.imdb.com/title/tt1171658/?ref_=sr_t_406,2007–2009,"Lamia is a young orphan who stays with her relatives, her life changes by famous musician Hüseyin Kenan's arrival."
Annenin Sirridir Çocuk,https://www.imdb.com/title/tt17678840/?ref_=sr_t_407,2022,"While Defne awaits the birth of her baby, she is unaware of the dangerous plans of Meryem, charwoman, for the baby. Two expectant mothers confront their past."
Seksenler,https://www.imdb.com/title/tt2361816/?ref_=sr_t_408,2012–2022,Turkey's series about the events experienced in the 1980s.
Koçum Benim,https://www.imdb.com/title/tt0329866/?ref_=sr_t_409,2002–2003,Students at a private high school are trained by a basketball coach not only for sports but also for life.
Seni Çok Bekledim,https://www.imdb.com/title/tt12694080/?ref_=sr_t_410,2021,"While the dirty secrets of the two families are revealed one by one, the love of Kadir and Ayliz has to pass this test."
Kara Ekmek,https://www.imdb.com/title/tt6363168/?ref_=sr_t_411,2015–2016,"Asiye, who is a poor girl and has big dreams, starts to live in the identity of Cetin's girlfriend, who was killed by him after stabbing her boyfriend, and has a rich life."
Alacakaranlik,https://www.imdb.com/title/tt0426642/?ref_=sr_t_412,2003–2005,"While two police officers, one experienced and the other young, chase the criminals together, Ferit's relationship with a singer will cause the duo to fight a psychopath named Emir."
Asaf,https://www.imdb.com/title/tt23480510/?ref_=sr_t_413,2024– ,Asaf tells the story of an ordinary Uber driver with strong moral values trying to find a way to get his life back on track after his separation with his wife and son. One day an unfortunate accident changes Asaf's life forever as he becomes a pawn to wrong people.
Aşk Yeniden,https://www.imdb.com/title/tt5616644/?ref_=sr_t_414,2015–2016,"Zeynep flees to America, leaving behind his family. Zeynep returns to Turkey in the hands of the frustrations. On the other hand, Fatih returns to country. The story of these two people. Love Again."
Cezailer,https://www.imdb.com/title/tt21029674/?ref_=sr_t_415,2022– ,"In the Rosenhan Experiment, one of the most shocking experiments in the history of science, psychiatrist David Rosenhan and seven of his sane friends are admitted to different psychiatric hospitals around the country, waiting for doctors to distinguish themselves from the truly sick."
En Iyi Arkadasim,https://www.imdb.com/title/tt8390228/?ref_=sr_t_416,2003–2007,Cino is an elf and he loves everything. He must help people because helping people is requirements for pass to lesson for that reason great elf gives his mission. Great elf sends Cino to Baris for help.
Babam ve Ailesi,https://www.imdb.com/title/tt6225210/?ref_=sr_t_417,2016,"Story of a man who has two families in two Turkish cities. Kemal has twins with his love from young days in Adana, and son and daughter in Istanbul. He is a successful business man who once had to listen his parents and change his life and love. Years later, his families interfere..."
Genco,https://www.imdb.com/title/tt1059247/?ref_=sr_t_418,2007–2008,A young man tries to rebuild his life after losing his family in the 1999 Yalova Earthquake.
Selena,https://www.imdb.com/title/tt0862622/?ref_=sr_t_419,2006–2009,A non-human female called Selena comes across three talented girls whose she believe they can hide the secret that Selena was out of this world and the fight between Selena and Hades( non-human male )
Ruhsar,https://www.imdb.com/title/tt0846614/?ref_=sr_t_420,1998–2001,"After her death, Ruhsar returns as a ghost to be with his husband Mazhar, but she must use her magical abilities to protect their happiness from Mazhar's mother, who is unaware of Ruhsar's presence, makes her best to remarry his son with another woman."
Askin Tarifi,https://www.imdb.com/title/tt14183324/?ref_=sr_t_421,2021,"Going on an indescribable love journey, will Firat be able to give a ""lesson of love"" to Mr. Doctor Love? Or will he be hunted while he goes hunting?"
Hayat Bugün,https://www.imdb.com/title/tt21268566/?ref_=sr_t_422,2022,"Based on the American series 'New Amsterdam,' the series will follow the events that subsequently occur after an idealist doctor is assigned to a hospital in the city. Chief Physician Baris Güvener is appointed to Hisarönü Hospital, one of the oldest and most established hospitals in Istanbul. However, Hisaronu, one of the best hospitals of its time, is going through a difficult time. With the arrival of a young and idealistic chief physician, the story of the entire hospital begins to be rewritten. Baris tries to get the hospital up and running, he will not only struggle with the difficulties in his own life but also enter into a tough battle for his patients and his colleagues, whose hearts he wins over one after the other. While the path of impossible loves, precious friendships, and touching life stories passes through Hisarönü Hospital, Baris will make us believe again in the power of love, hope, and devotion and will open the doors of the hospital to everyone living in Istanbul. In order to say ""Hayat Bugun"" (Life is Today), to hope and start over, he will ask only one question; ""How can I help you?"""
Sipahi,https://www.imdb.com/title/tt22037042/?ref_=sr_t_423,2022–2023,"The 'Manager' structuring, supported by the dark forces of the West, has become a clear threat to Turkey. Bloody terrorist acts are taking place in Turkey that will create chaos and lead the people to fear and panic. The Turkish economy is going through various tests, and the most vulnerable points of the country are subjected to cyber attacks through Metavarse, dark web, crypto communication systems and internet systems. This complex and complex enemy; It also actively uses a wide variety of groups within the country. The Sipahis of the National Intelligence Organization realize this danger and react quickly."
Ölene Kadar,https://www.imdb.com/title/tt6396252/?ref_=sr_t_424,2017,"Daghan is a doctor who tries to get his proficiency however, finds himself in jail. He loses his hope, his future, and the most beautiful days of his lives due the crime that he has never committed. He is sentenced to life imprisonment."
Emanet,https://www.imdb.com/title/tt4075332/?ref_=sr_t_425,2014,The impossible love of a man who caused the death of an innocent man and his wife.
Kinali Kar,https://www.imdb.com/title/tt0426735/?ref_=sr_t_426,2002–2004,"A young teacher assigned to a schoolless village fights with the village landlords for the children's right to education. At the same time, he falls into an impossible love."
Baba Candir,https://www.imdb.com/title/tt5301950/?ref_=sr_t_427,2015–2017,"The life of a father and his three children will change when they meet a naive girl, a narcissistic businessman and a pop-star."
Tarihin Efsaneleri,https://www.imdb.com/title/tt16024160/?ref_=sr_t_428,2021–2022,"Epic stories of historical heroes who became legendary with their struggles are on TRT Documentary with ""Legends of History""."
Vahsi Seyler,https://www.imdb.com/title/tt12779734/?ref_=sr_t_429,2021– ,"They become a part to a crime and fall for each other again. What are they going to do now? ""Wild Things"" questions the anatomy of marriage getting lost in the action and comedy."
Çarli Is Basinda,https://www.imdb.com/title/tt8153838/?ref_=sr_t_430,2000,"A family owned monkey (Çarli), at that time its ability and success succeeded in helping the house do many things. Çarli soon became an adopted child of the individual at home."
Kollama,https://www.imdb.com/title/tt6369468/?ref_=sr_t_431,2008–2011,"a story that traces a book in which deep state secrets are kept hidden, conspiracy theories, assassinations, provocations, and unsolved murders."
Bir Yeraltı Sit-Com'u,https://www.imdb.com/title/tt13923096/?ref_=sr_t_432,2021,"The dreams of Hasan Can Kaya, who lives with his low-income family in Güngören district of Istanbul and wants to become a comedian one day, are mixed with the realities of life."
Hiç,https://www.imdb.com/title/tt14024714/?ref_=sr_t_433,2021,"The ""trade"" that a group of young people trying to hold on to university life who came together despite class divisions started to help their friends, turns into a much larger organization."
Evli ve Öfkeli,https://www.imdb.com/title/tt5152426/?ref_=sr_t_434,2015–2016,"Four wives have been betrayed by their husbands , support each other and trying to deal with that in comedic and romantic ways."
Cam Tavanlar,https://www.imdb.com/title/tt14183290/?ref_=sr_t_435,2021,"A story full of competition, revenge, love and determination, telling about women's inequality of opportunity in social life."
Ex Askim,https://www.imdb.com/title/tt13856832/?ref_=sr_t_436,2021,Ex-lovers meet in a cafe after their relationship ended for some reason or ended in disappointment. Cafe is the scene of completely different events in every episode.
Kalbimin Sultani,https://www.imdb.com/title/tt8081138/?ref_=sr_t_437,2018,Mahmud brings Anna to his palace to teach his children French. The Russian ambassador also sends Anna there with the pressure to 'spy on the sultan's country'.
Barbaros Hayreddin: Sultan Fermani,https://www.imdb.com/title/tt26428591/?ref_=sr_t_438,2022–2023,"The story of Hayreddin Barbarossa, an Ottoman corsair and later admiral of the Ottoman Navy."
Kayıp Şehir,https://www.imdb.com/title/tt2575934/?ref_=sr_t_439,2012–2013,"What is happening in Istanbul's back streets? Which lives are flowing, in the shadow of poverty? Women, gypsies, transvestites, street children each are victims of another discrimination. A typical Black Sea family connected to each other will meet with people who are trying to cling to the loneliness of life in this neighborhood."
Güzel Köylü,https://www.imdb.com/title/tt4015542/?ref_=sr_t_440,2014–2015,A beautiful girl from Istanbul moves to a small village and that changes her life.
Gönül İşleri,https://www.imdb.com/title/tt4075230/?ref_=sr_t_441,2014–2015,The story of three sisters who live with their father after their mother abandoned them and who experience many changes in their lives while in search for marriage partners and true love.
Bonkis,https://www.imdb.com/title/tt13793502/?ref_=sr_t_442,2021–2022,"Deniz is an idiosyncratic, stubborn and passionate woman. She followed her dreams and opened a cafe called Bonkis instead of doing her architectural profession, but her rosy dreams did not match the reality. Struggling to survive economically, Deniz struggles with the complex life of her family on the one hand."
Ben de Özledim,https://www.imdb.com/title/tt3296782/?ref_=sr_t_443,2013–2014,"Leyla and Mecnun series has been canceled, as the teams try to hold on to life."
İşte Bu Benim Masalım,https://www.imdb.com/title/tt13583468/?ref_=sr_t_444,2021,"The rise of a 17-year-old star who has strong feelings and is a dreamer and different from everyone else. Her greatest talent is her voice, but she's afraid to perform. How will Aleyna and Cemal Can manage to overcome the obstacles they encounter?"
Sehrin Melekleri,https://www.imdb.com/title/tt10351402/?ref_=sr_t_445,2015,The opinion on the failure of Istanbul security among the public in Istanbul; the police forces the members of the crime to set up a young team to push. Cemal is assigned to the task for this task. Cemal gathers talented young policemen to his team.
Racon,https://www.imdb.com/title/tt4371812/?ref_=sr_t_446,2015,"Deciding to ensure his own justice after the death of his judge father, Kenan declares war on his enemies and becomes a mafia boss who disregards the laws."
Benim Tatli Yalanim,https://www.imdb.com/title/tt10374050/?ref_=sr_t_447,2019,"Abandoned by his wife, Nejat is lying to his daughter not to be upset. But as Kayra grows, these lies become unbearable. Nejat, who is trapped in the corner, meets Suna unexpectedly when he thinks that it is the end of everything. With Suna's entry into their lives, both Nejat and Kayra's world is completely changed."
Serhat,https://www.imdb.com/title/tt23813378/?ref_=sr_t_448,2023– ,"Special Forces Police Commissioner in voluntary exile is called back home to join the fight against the evil taking over the city. Not only is the challenge more difficult than expected, but he is also faced with the demons of his past."
Menekse ile Halil,https://www.imdb.com/title/tt1103639/?ref_=sr_t_449,2007–2008,A story about a girl called Menekse who is forced to marry her brother's friend until she decides to escape from Germany to Turkey with her lover Halil.
Yardimci Oyuncu,https://www.imdb.com/title/tt27795928/?ref_=sr_t_450,2023– ,"Murat, who is suddenly homeless and penniless, while thinking about what to do, meets the TV series sets in the ""extra"" coffee house he entered by chance."
Tutunamayanlar,https://www.imdb.com/title/tt11519740/?ref_=sr_t_451,2020,"Tarik, who has never worked in his life, falls in love with Irem in a job interview. Having no place to go, Irem comes to the neighborhood where Tarik lives and starts to work at the book cafe in the neighborhood. Irem's dream is to be successful, to establish her own business and to return to her old days one day."
Sakarya-Firat,https://www.imdb.com/title/tt1741647/?ref_=sr_t_452,2009–2013,"""Sakarya Firat"" is a TV show that depicts the lives of the Turkish Gendarmerie Commandos and Soldiers, whom are assigned to the Southeastern frontier of Turkey. Here the soldiers struggle with their duties as soldiers and who they are in their personal lives, while being under constant threat of the Kurdish terrorist organization PKK (Kurdish Workers Party) attack."
Tetikçinin Oglu,https://www.imdb.com/title/tt26653283/?ref_=sr_t_453,2023,"Iskender's son dies as a result of an accident. The accused is Metin, Korkmaz's son, whom he lost 22 years ago. Now the two friends are against each other for their sons."
Ben Gri,https://www.imdb.com/title/tt22325952/?ref_=sr_t_454,2022,"Fuat is a successful and respected lawyer. One day a bad incident happened to his daughter. The series will convey to the audience how Fuat, while trying to avenge his daughter's incident, confronts the darkness within himself and tries to achieve his own justice, along with the mysterious messages that come to his phone."
Dikkat Bebek Var,https://www.imdb.com/title/tt8855062/?ref_=sr_t_455,2000–2002,"The adventures of a talking baby named ""Baris""."
Kalbimdeki Deniz,https://www.imdb.com/title/tt6345486/?ref_=sr_t_456,2016–2018,"Deniz has everything a woman can ask for. But when her husband disappeared no trace, this happy life changes. Deniz, who is in a desperate state with her two children and her father, meets Mirat who will be a lover and be a life-saver."
Ferhat ile Sirin,https://www.imdb.com/title/tt11174344/?ref_=sr_t_457,2019,"Ferhat, Sirin and Banu - They are unaware that they are dragged into a vortex where they will experience the miracle of love and the disaster. Theirs is a story of impossible love. Banu will be the biggest obstacle between Ferhat and Sirin."
Lise Defteri,https://www.imdb.com/title/tt0434697/?ref_=sr_t_458,2003–2004,"The troubles of the young people during their adolescence, the secrets they hide from their parents and teachers, the TV series that describes the happiness and sadness in high school."
Yedi Güzel Adam,https://www.imdb.com/title/tt4132514/?ref_=sr_t_459,2014–2015,"Important writers in Turkish literature Cahit Zarifoglu, Nuri Pakdil, Mehmet Akif Inan, Erdem Bayazit, Rasim Ozdenoren, Ali Kutlay and Alaeddin Ozdenoren's tells of life."
Seni Kimler Aldi,https://www.imdb.com/title/tt9100784/?ref_=sr_t_460,2017,"Baris and Zehra, who want to protect their love, are in the shadow of Ceren's revenge."
Yeni Gelin,https://www.imdb.com/title/tt7561642/?ref_=sr_t_461,2017–2018,"Bella, a Spanish Girl falls in love with a Turkish man, Hazar. They decide to marry against the wish of their families. Bella is a modern girl and Hazar's family is very traditional, so their cultures clash."
Yüz Yıllık Mucize,https://www.imdb.com/title/tt22467658/?ref_=sr_t_462,2023,"It tells the story of Ali Tahir, who has lived 100 years without aging a single day. However, after everything he has been through, he decides to end his life. But everything changes when he meets Harika."
Familya,https://www.imdb.com/title/tt6091718/?ref_=sr_t_463,2016,It is the story of a group of Beyoglu families and their father Yasar Beyoglu who tried to recapture the family together with the news of years later.
Son,https://www.imdb.com/title/tt2189801/?ref_=sr_t_464,2012–2013,"After a plane crash, a devoted wife learns that her life and marriage is all a lie."
Yesil Deniz Milenyum,https://www.imdb.com/title/tt26625889/?ref_=sr_t_465,2023– ,"A few years after Ismail's departure, the footsteps of the age of technology began to be heard in the warm and friendly town of Yesilova, and there were great changes in the lives of the family."
Gokturkler Asya'nin Efendileri,https://www.imdb.com/title/tt15690218/?ref_=sr_t_466,2023– ,"It tells the collapse and resurrection of the greatest empire Asia has ever seen, the epic of the Gokturk Khanate. It is about 620 and 650 Chinese captivity and then the Kurshad revolution and 40 soldiers."
Kanit,https://www.imdb.com/title/tt2151208/?ref_=sr_t_467,2010–2013,"In each episode, detectives Orhan and Selim attempt to solve puzzling cases with the help and guidance of forensics. Professor Sevil Atasoy, a renowned forensic scientist, also joins us sometimes to share relevant anecdotes."
Fedakar,https://www.imdb.com/title/tt27123253/?ref_=sr_t_468,2023,"The thrilling story of Tarik, who wishes to take revenge on his brother's murderer, and Elif, who cannot accept that her only hope in life is the murderer."
Deneme Çekimi,https://www.imdb.com/title/tt27796339/?ref_=sr_t_469,2023– ,"Kübra, who is trying to hold on to the cinema and television world, sometimes meets with fringe directors who target festivals in her casting auditions; Sometimes it intersects with opportunistic producers aiming for totality. This diversity of test shoots will challenge both his acting and social identity."
Evlat Kokusu,https://www.imdb.com/title/tt6654118/?ref_=sr_t_470,2017,"Zeyno, a hospital nurse in Amsterdam, finds out she is pregnant by her first love. She daydreams of her wonderful future with the love of her life and their baby, unaware of the surprises that life is about to throw her way. A continent away, the powerful Akbas family has a young daughter need of a bone-marrow transplant and will do anything to get it."
Mavera: Hace Ahmed Yesevi,https://www.imdb.com/title/tt14385558/?ref_=sr_t_471,2021,"The religious fight of Hace Ahmed Yesevi, a Turkic poet and Sufi, who was sent to Baghdad by Yusuf Hemedani for the truth."
Yeşil Deniz,https://www.imdb.com/title/tt4162900/?ref_=sr_t_472,2014–2016,"A small Turkish Aegean town in the 90's and the warm, friendly, sincere people of this town."
Rüya,https://www.imdb.com/title/tt7131032/?ref_=sr_t_473,2017,"Cemal San is sitting in the director's chair while the young girl who is experiencing financial difficulties and the rich man love story is told the screenplay of the series is the Kaktus Yazi Grubu. Elif, who wants to be an artist, meets with the textile custodian, Bulut, and falls in love."
Dönence,https://www.imdb.com/title/tt27478354/?ref_=sr_t_474,2023,"Gece plans to go to university and dreams of making music with her boyfriend Emir for the whole summer. However, she moves with her family to Foça and meets Özgür, an instructor at the yacht club."
Çember,https://www.imdb.com/title/tt7130992/?ref_=sr_t_475,2017–2022,The story of the murder investigation bureau solving crime cases.
Exatlon Türkiye,https://www.imdb.com/title/tt11286902/?ref_=sr_t_476,2020,Orkun Isitmak hosts an epic sports challenge pitting Turkey's influencers against each other. Who will party - and who will be punished?
Kusursuz Kiraci,https://www.imdb.com/title/tt19383446/?ref_=sr_t_477,2022,"Mona is a young woman who grew up in an orphanage. He works for the Internet newspaper and has been reporting on the cases of house arson in different parts of Istanbul recently. Again, one day when he goes to the news of the fire, they come across the photo reporter Yakup, who came to do the same news."
Sana Söz,https://www.imdb.com/title/tt15471788/?ref_=sr_t_478,2021,"Elif Karaca is the creator of the program ""Don't Be Silent with Elif Karaca"", which Turkey follows with interest. Elif has dedicated her life to fighting the injustices and evils she has witnessed since her childhood. Murder Bureau commissioner Ömer, just like Elif, has struggled with bad guys, criminals and criminals throughout his life."
Buyur Bi de Burdan Bak,https://www.imdb.com/title/tt7915922/?ref_=sr_t_479,2015–2018,
Survivor 2018,https://www.imdb.com/title/tt7957172/?ref_=sr_t_480,2018,"The most popular survival tv-reality worldwide, coming to the screens with 2018 staff in Turkey."
Ötesiz insanlar,https://www.imdb.com/title/tt8954910/?ref_=sr_t_481,2013–2015,"In 1996, a village girl in turkey, Elif Gürel dreams of becoming a doctor. His abusive father is marrying her off to a rich man. She meets an army officer , Deniz , who encourages her to realize her dream. Helped by her mother, she takes a big step, but is soon caught in trouble. Her mother turns to an old secret to help her beloved daughter. A story of a strong girl, struggling her way to become a doctor while being true to her faith. A story about the prestigious piece of cloth called head-veil."
Beni Böyle Sev,https://www.imdb.com/title/tt2735500/?ref_=sr_t_482,2013–2015,"The story of Aysem and Ömer, who think that they will be able to take responsibility for their dreams, their love and each other, and to have difficulties together, instead of temporary relations that they will live for their daily fervor in their youth."
Derin Sular,https://www.imdb.com/title/tt1847054/?ref_=sr_t_483,2011,Young teens just finished the high school and they begin to college. And they realized real life is not easy. Teen drama about their struggles with life and become an adult.
Kaderimin Yazıldığı Gün,https://www.imdb.com/title/tt4075196/?ref_=sr_t_484,2014–2015,"Defne and Kahraman Yorukhan are rich but have no children. Their family rebukes make Deffe look for an alternative way to give her husband a heir. She decides to hire a surrogate mother to take the baby for her. Her choice falls on Elf, a young woman from the birthplace of Kahraman Antakya."
Yaz Sarkisi,https://www.imdb.com/title/tt28297345/?ref_=sr_t_485,2023,"The series follows Yaz, who moves to Istanbul to pursue her late father's dream. Her arrival will put the friendship of two close friends, Murat and Kemal, to the test."
